0.5	0.533813
1.5	0.574533
2.5	0.606226
3.5	0.632611
4.5	0.659358
5.5	0.681373
6.5	0.702879
7.5	0.721097
8.5	0.736948
9.5	0.754477
10.5	0.768381
11.5	0.779933
12.5	0.787124
13.5	0.799463
14.5	0.80838
15.5	0.817751
16.5	0.826383
17.5	0.833203
18.5	0.839883
19.5	0.846022
20.5	0.851897
21.5	0.858252
22.5	0.862961
23.5	0.867032
24.5	0.871668
25.5	0.87663
26.5	0.881397
27.5	0.883546
28.5	0.888502
29.5	0.891496
30.5	0.894946
31.5	0.898232
32.5	0.90226
33.5	0.901802
34.5	0.903315
35.5	0.906426
36.5	0.911172
37.5	0.911837
38.5	0.911963
39.5	0.914083
40.5	0.914685
41.5	0.91818
42.5	0.919965
43.5	0.922236
44.5	0.92314
45.5	0.92468
46.5	0.925092
47.5	0.926042
48.5	0.928816
49.5	0.929277
50.5	0.930768
51.5	0.93281
52.5	0.934851
53.5	0.934693
54.5	0.933174
55.5	0.932863
56.5	0.932611
57.5	0.934784
58.5	0.934887
59.5	0.936427
60.5	0.938984
61.5	0.937367
62.5	0.937712
63.5	0.935786
64.5	0.937792
65.5	0.936278
66.5	0.935709
67.5	0.935129
68.5	0.937193
69.5	0.937074
70.5	0.935804
71.5	0.936311
72.5	0.933896
73.5	0.932853
74.5	0.933495
75.5	0.933785
76.5	0.932569
77.5	0.930422
78.5	0.930214
79.5	0.928044
80.5	0.928291
81.5	0.925481
82.5	0.925033
83.5	0.92522
84.5	0.924748
85.5	0.921904
86.5	0.921938
87.5	0.922599
88.5	0.921333
89.5	0.916592
90.5	0.91354
91.5	0.909652
92.5	0.906654
93.5	0.901842
94.5	0.896365
95.5	0.889579
96.5	0.880995
97.5	0.870672
98.5	0.856019
99.5	0.824589
