0.5	0.595921
1.5	0.634376
2.5	0.664564
3.5	0.689245
4.5	0.709104
5.5	0.728621
6.5	0.746832
7.5	0.763336
8.5	0.778723
9.5	0.790298
10.5	0.802198
11.5	0.815127
12.5	0.82445
13.5	0.833957
14.5	0.842297
15.5	0.850133
16.5	0.854624
17.5	0.861496
18.5	0.866729
19.5	0.870504
20.5	0.875143
21.5	0.882408
22.5	0.88626
23.5	0.888839
24.5	0.893138
25.5	0.894798
26.5	0.899541
27.5	0.904162
28.5	0.907305
29.5	0.910255
30.5	0.911814
31.5	0.912938
32.5	0.914851
33.5	0.917771
34.5	0.919675
35.5	0.922681
36.5	0.923996
37.5	0.925639
38.5	0.927905
39.5	0.928865
40.5	0.931181
41.5	0.933064
42.5	0.934097
43.5	0.934105
44.5	0.935688
45.5	0.93536
46.5	0.937236
47.5	0.937568
48.5	0.938497
49.5	0.93981
50.5	0.939299
51.5	0.940583
52.5	0.939217
53.5	0.942094
54.5	0.942697
55.5	0.944343
56.5	0.943306
57.5	0.943645
58.5	0.943205
59.5	0.944562
60.5	0.944302
61.5	0.943403
62.5	0.943257
63.5	0.944505
64.5	0.943206
65.5	0.94199
66.5	0.942656
67.5	0.942335
68.5	0.942179
69.5	0.941856
70.5	0.941447
71.5	0.939037
72.5	0.939924
73.5	0.939478
74.5	0.938932
75.5	0.93969
76.5	0.938967
77.5	0.938971
78.5	0.938633
79.5	0.937359
80.5	0.935773
81.5	0.93462
82.5	0.932735
83.5	0.93219
84.5	0.931543
85.5	0.930555
86.5	0.93066
87.5	0.929446
88.5	0.927939
89.5	0.923332
90.5	0.921473
91.5	0.91919
92.5	0.917288
93.5	0.913288
94.5	0.907171
95.5	0.902482
96.5	0.895959
97.5	0.886946
98.5	0.872832
99.5	0.845463
