Gene_name NCBI_gene_ID Gene_type
OR5T2 219464 protein_coding
ABR 29 protein_coding
LILRA4 23547 protein_coding
OR8H1 219469 protein_coding
OR5T1 390155 protein_coding
OR8K1 390157 protein_coding
HRAS 3265 protein_coding
OR8J1 219477 protein_coding
CLK2 1196 protein_coding
LAIR1 3903 protein_coding
ZNF311 282890 protein_coding
PANK4 55229 protein_coding
FAM120B 84498 protein_coding
 3806 protein_coding
RASSF7 8045 protein_coding
OR2B3 442184 protein_coding
LST1 7940 protein_coding
PKLR 5313 protein_coding
SMN1 6606 protein_coding
CDHR5 53841 protein_coding
TARM1 441864 protein_coding
MBOAT7 79143 protein_coding
CNOT3 4849 protein_coding
LILRB2 10288 protein_coding
PLCH2 9651 protein_coding
SCAMP3 10067 protein_coding
KIR2DS1 3802 protein_coding
DLL1 28514 protein_coding
AADACL2 344752 protein_coding
SERF1A 8293 protein_coding
RDH13 112724 protein_coding
TSEN34 79042 protein_coding
GBA 2629 protein_coding
GP6 51206 protein_coding
HES5 388585 protein_coding
PRXL2B 127281 protein_coding
 9437 protein_coding
OR2J3 442186 protein_coding
MICB 4277 protein_coding
SCT 6343 protein_coding
PTDSS2 81490 protein_coding
TMC4 147798 protein_coding
KCNIP4 80333 protein_coding
SLC5A8 160728 protein_coding
TIMM22 29928 protein_coding
TRIM10 10107 protein_coding
LENG1 79165 protein_coding
NXN 64359 protein_coding
VSTM1 284415 protein_coding
ANO4 121601 protein_coding
RNF39 80352 protein_coding
 KIR3DX1 protein_coding
HCN3 57657 protein_coding
LILRA5 353514 protein_coding
MUC21 394263 protein_coding
UGT2A3 79799 protein_coding
TNF 7124 protein_coding
RPS9 6203 protein_coding
OR11A1 26531 protein_coding
FAM189B 10712 protein_coding
MOG 4340 protein_coding
LILRB1 10859 protein_coding
UGT2B10 7365 protein_coding
NLRP7 199713 protein_coding
OSCAR 126014 protein_coding
UGT2B15 7366 protein_coding
TMPRSS11E 28983 protein_coding
LAIR2 3904 protein_coding
ZNF729 100287226 protein_coding
ZNF676 163223 protein_coding
YTHDC1 91746 protein_coding
LILRB4 11006 protein_coding
TFPT 29844 protein_coding
 26121 protein_coding
NLRP2 55655 protein_coding
DEFB104B 503618 protein_coding
DEFB105B 245908 protein_coding
DEFB105B 504180 protein_coding
PRR23D1 100131608 protein_coding
PRR23D1 100133251 protein_coding
DEFB4B 1673 protein_coding
DEFB4B 100289462 protein_coding
NDUFA3 4696 protein_coding
DEFB103B 55894 protein_coding
LILRA3 11026 protein_coding
ZNF705G 100131980 protein_coding
LILRA6 79168 protein_coding
DEFB107B 245910 protein_coding
DEFB107B 503614 protein_coding
SPAG11B 10407 protein_coding
DEFB106B 503841 protein_coding
PRAMEF5 343068 protein_coding
PRAMEF18 391003 protein_coding
PRAMEF18 653606 protein_coding
LILRA2 11027 protein_coding
ZFP57 346171 protein_coding
OR2J2 26707 protein_coding
PRAMEF8 391002 protein_coding
 MSH5-SAPCD1 protein_coding
DENND11 57189 protein_coding
MYOM2 9172 protein_coding
HNRNPCL2 440563 protein_coding
PRAMEF25 441873 protein_coding
PRAMEF25 645359 protein_coding
HLA-G 3135 protein_coding
HNRNPCL4 101060301 protein_coding
PRAMEF33 645382 protein_coding
PRAMEF9 343070 protein_coding
SSBP1 6742 protein_coding
BTG3 10950 protein_coding
DHX16 8449 protein_coding
C22orf15 150248 protein_coding
HSPA1B 3304 protein_coding
SLC39A11 201266 protein_coding
GABBR1 2550 protein_coding
SMARCB1 6598 protein_coding
CEACAM4 1089 protein_coding
AGK 55750 protein_coding
TMEM179 388021 protein_coding
HLA-DRA 3122 protein_coding
CEACAM21 90273 protein_coding
