Gene_name NCBI_gene_ID Gene_type
GGA1 26088 protein_coding
TMEM95 339168 protein_coding
TFF2 7032 protein_coding
TFF1 7031 protein_coding
TMPRSS3 64699 protein_coding
RNF31 55072 protein_coding
TPP2 7174 protein_coding
BMI1 648 protein_coding
PTGIS 5740 protein_coding
PLCB1 23236 protein_coding
UBASH3A 53347 protein_coding
MSRB2 22921 protein_coding
CNDP2 55748 protein_coding
ICA1 3382 protein_coding
CCDC168 643677 protein_coding
TEX30 93081 protein_coding
TMEM72 643236 protein_coding
PTF1A 256297 protein_coding
IRF9 10379 protein_coding
PRTFDC1 56952 protein_coding
FGF16 8823 protein_coding
TSSC4 10078 protein_coding
POGLUT2 79070 protein_coding
CPXCR1 53336 protein_coding
LGALS1 3956 protein_coding
HDAC8 55869 protein_coding
BIVM-ERCC5 100533467 protein_coding
 P2RX5-TAX1BP3 protein_coding
XYLT1 64131 protein_coding
TTC28 23331 protein_coding
DCLRE1C 64421 protein_coding
SGSM2 9905 protein_coding
OR52B4 143496 protein_coding
BIVM 54841 protein_coding
RSPH1 89765 protein_coding
REC8 9985 protein_coding
MB 4151 protein_coding
SLC37A1 54020 protein_coding
GAS6 2621 protein_coding
TSPAN13 27075 protein_coding
PKDREJ 10343 protein_coding
SERPINB2 5055 protein_coding
ANKRD54 129138 protein_coding
TRIM21 6737 protein_coding
WNT7A 7476 protein_coding
PDE9A 5152 protein_coding
RPA3 6119 protein_coding
NUDT15 55270 protein_coding
IPO4 79711 protein_coding
MED4 29079 protein_coding
NXPH1 30010 protein_coding
CHL1 10752 protein_coding
APBB1 322 protein_coding
ANKFY1 51479 protein_coding
THSD7A 221981 protein_coding
CNDP1 84735 protein_coding
RB1 5925 protein_coding
TSPO 706 protein_coding
ANKRD61 100310846 protein_coding
PAPOLB 56903 protein_coding
SGCG 6445 protein_coding
RSPH10B 222967 protein_coding
CBLN4 140689 protein_coding
BPIFB3 359710 protein_coding
INPP5J 27124 protein_coding
RBM26 64062 protein_coding
PARD6G 84552 protein_coding
ATP9A 10079 protein_coding
ZSCAN30 100101467 protein_coding
SPAG7 9552 protein_coding
ZDHHC20 253832 protein_coding
PSMG3 84262 protein_coding
TWSG1 57045 protein_coding
RALY 22913 protein_coding
DCLK1 9201 protein_coding
ZZEF1 23140 protein_coding
C1GALT1 56913 protein_coding
DOK6 220164 protein_coding
CAV3 859 protein_coding
PRKAR1B 5575 protein_coding
RPL3L 6123 protein_coding
KIAA1328 57536 protein_coding
DYNC1LI1 51143 protein_coding
ATP12A 479 protein_coding
RPS2 6187 protein_coding
ABCA7 10347 protein_coding
EFNB2 1948 protein_coding
PROSER2 254427 protein_coding
DGKH 160851 protein_coding
CFAP61 26074 protein_coding
CRK 1398 protein_coding
MAPK8 5599 protein_coding
ZADH2 284273 protein_coding
RAP1GAP2 23108 protein_coding
ANKRD29 147463 protein_coding
CRYBB2 1415 protein_coding
RSPH10B2 728194 protein_coding
MOB2 81532 protein_coding
PITPNB 23760 protein_coding
SERPINB8 5271 protein_coding
ZNF215 7762 protein_coding
SLC6A1 6529 protein_coding
UPRT 139596 protein_coding
EFNA2 1943 protein_coding
TM9SF1 10548 protein_coding
CCKBR 887 protein_coding
NHLRC4 283948 protein_coding
CCBE1 147372 protein_coding
SNAI1 6615 protein_coding
WIPI2 26100 protein_coding
DERL2 51009 protein_coding
WDR90 197335 protein_coding
C1R 715 protein_coding
CDK5RAP1 51654 protein_coding
HDX 139324 protein_coding
GALNT18 374378 protein_coding
TSSK4 283629 protein_coding
DZIP1 22873 protein_coding
LRRC30 339291 protein_coding
CSNK1E 1454 protein_coding
C11orf42 160298 protein_coding
TEKT1 83659 protein_coding
CHMP4A 29082 protein_coding
GPRIN2 9721 protein_coding
PABPC5 140886 protein_coding
PABPC1L2A 340529 protein_coding
CALCB 797 protein_coding
ARL13A 392509 protein_coding
KIAA1217 56243 protein_coding
PTH 5741 protein_coding
RNF167 26001 protein_coding
AP5Z1 9907 protein_coding
SUCLA2 8803 protein_coding
BRWD3 254065 protein_coding
MDP1 145553 protein_coding
 SSU72P4 protein_coding
RIC3 79608 protein_coding
C1RL 51279 protein_coding
PIAS2 9063 protein_coding
NEDD8-MDP1 100528064 protein_coding
TBC1D25 4943 protein_coding
TRPM5 29850 protein_coding
NEDD8 4738 protein_coding
RBP5 83758 protein_coding
EP300 2033 protein_coding
TAX1BP3 30851 protein_coding
STK4 6789 protein_coding
GMPR2 51292 protein_coding
EDA 1896 protein_coding
PIMREG 54478 protein_coding
NDUFA4 4697 protein_coding
TELO2 9894 protein_coding
HDHD2 84064 protein_coding
CLSTN3 9746 protein_coding
UCHL3 7347 protein_coding
ARID3A 1820 protein_coding
SCIN 85477 protein_coding
CHM 1121 protein_coding
INCA1 388324 protein_coding
GPR183 1880 protein_coding
PIN4 5303 protein_coding
DNAJB7 150353 protein_coding
IER3IP1 51124 protein_coding
RBX1 9978 protein_coding
SKOR2 652991 protein_coding
WFIKKN1 117166 protein_coding
MICALL2 79778 protein_coding
TGIF1 7050 protein_coding
KDELR3 11015 protein_coding
MTRNR2L3 100462983 protein_coding
SLC17A9 63910 protein_coding
NUP88 4927 protein_coding
RPS6KA6 27330 protein_coding
FAM234A 83986 protein_coding
PLA2G3 50487 protein_coding
PEX5 5830 protein_coding
PNPLA5 150379 protein_coding
SLC25A30 253512 protein_coding
STK33 65975 protein_coding
POLDIP3 84271 protein_coding
C2CD4C 126567 protein_coding
ONECUT3 390874 protein_coding
CYP24A1 1591 protein_coding
ARMCX2 9823 protein_coding
GRIN3B 116444 protein_coding
COX19 90639 protein_coding
C3orf20 84077 protein_coding
STK11 6794 protein_coding
TAF4B 6875 protein_coding
TPT1 7178 protein_coding
NPY 4852 protein_coding
GZF1 64412 protein_coding
PYGB 5834 protein_coding
ARL4A 10124 protein_coding
JMJD1C 221037 protein_coding
POF1B 79983 protein_coding
GPR146 115330 protein_coding
KLHL4 56062 protein_coding
GRAP2 9402 protein_coding
CAMKK1 84254 protein_coding
SMCHD1 23347 protein_coding
POTEM 641455 protein_coding
ZCWPW2 152098 protein_coding
CNN2 1265 protein_coding
ETV1 2115 protein_coding
ABHD13 84945 protein_coding
PPP1R3D 5509 protein_coding
LIG4 3981 protein_coding
PFDN4 5203 protein_coding
ESD 2098 protein_coding
PATZ1 23598 protein_coding
LMO1 4004 protein_coding
AK3 50808 protein_coding
DEFB116 245930 protein_coding
PSMA7 5688 protein_coding
PHF8 23133 protein_coding
HTR2A 3356 protein_coding
PTPN5 84867 protein_coding
DEFB119 245932 protein_coding
TDRD3 81550 protein_coding
PMAIP1 5366 protein_coding
CDH26 60437 protein_coding
ZNF519 162655 protein_coding
LYZL2 119180 protein_coding
P2RX1 5023 protein_coding
SHISAL1 85352 protein_coding
RCL1 10171 protein_coding
NOVA1 4857 protein_coding
XPNPEP3 63929 protein_coding
SLC6A11 6538 protein_coding
VAPA 9218 protein_coding
ENKUR 219670 protein_coding
SPART 23111 protein_coding
TLE6 79816 protein_coding
MAP1LC3A 84557 protein_coding
PITPNM3 83394 protein_coding
CISD1 55847 protein_coding
ZNRF3 84133 protein_coding
STT3B 201595 protein_coding
DNAJC1 64215 protein_coding
RLN1 6013 protein_coding
DSG4 147409 protein_coding
PLGRKT 55848 protein_coding
ENTPD6 955 protein_coding
CYB5R3 1727 protein_coding
 SSU72P2 protein_coding
ZDHHC13 54503 protein_coding
VSTM4 196740 protein_coding
CDC37L1 55664 protein_coding
NUBPL 80224 protein_coding
DPH3 285381 protein_coding
AXIN1 8312 protein_coding
PALM 5064 protein_coding
SLC25A16 8034 protein_coding
DSG3 1830 protein_coding
STK24 8428 protein_coding
SUSD5 26032 protein_coding
ITGAE 3682 protein_coding
TTC39B 158219 protein_coding
ARHGAP5 394 protein_coding
PHYHIPL 84457 protein_coding
TTR 7276 protein_coding
PRPS1L1 221823 protein_coding
ZNF485 220992 protein_coding
NPVF 64111 protein_coding
CITED1 4435 protein_coding
CDH2 1000 protein_coding
ZNF385D 79750 protein_coding
PACSIN2 11252 protein_coding
RNF151 146310 protein_coding
SIK1 150094 protein_coding
FXYD4 53828 protein_coding
R3HDM4 91300 protein_coding
CPVL 54504 protein_coding
ZNF214 7761 protein_coding
SNX6 58533 protein_coding
PKD1 5310 protein_coding
ASCC1 51008 protein_coding
NOX1 27035 protein_coding
HSF2BP 11077 protein_coding
SCIMP 388325 protein_coding
RCBTB2 1102 protein_coding
POLR2E 5434 protein_coding
H2BS1 54145 protein_coding
RAD18 56852 protein_coding
GATD3A 8209 protein_coding
PRRG4 79056 protein_coding
USP6 9098 protein_coding
CDKN2B 1030 protein_coding
INSL6 11172 protein_coding
TINF2 26277 protein_coding
NUDT10 170685 protein_coding
KIAA2026 158358 protein_coding
TSPYL2 64061 protein_coding
EAPP 55837 protein_coding
ITGA9 3680 protein_coding
SLITRK1 114798 protein_coding
ALOX5AP 241 protein_coding
S1PR4 8698 protein_coding
SLC1A1 6505 protein_coding
OR4F4 26682 protein_coding
FKBP3 2287 protein_coding
NCLN 56926 protein_coding
FGF14 2259 protein_coding
RPL17-C18orf32 100526842 protein_coding
ADAP1 11033 protein_coding
IFT88 8100 protein_coding
DACH2 117154 protein_coding
RIMBP3B 440804 protein_coding
ICOSLG 23308 protein_coding
SBF1 6305 protein_coding
TGM1 7051 protein_coding
RBP3 5949 protein_coding
FOXA1 3169 protein_coding
LIPG 9388 protein_coding
ARHGAP12 94134 protein_coding
STXBP6 29091 protein_coding
PLPP6 403313 protein_coding
PDCD1LG2 80380 protein_coding
RUBCNL 80183 protein_coding
CNTLN 54875 protein_coding
SSUH2 51066 protein_coding
DNMT3L 29947 protein_coding
MAGEE1 57692 protein_coding
ARMCX4 100131755 protein_coding
PRORP 9692 protein_coding
RABGGTA 5875 protein_coding
C17orf100 388327 protein_coding
DYM 54808 protein_coding
ENO3 2027 protein_coding
TMEM86A 144110 protein_coding
RIC1 57589 protein_coding
AIRE 326 protein_coding
TMTC4 84899 protein_coding
TCEAL9 51186 protein_coding
RBMXL2 27288 protein_coding
CNGA4 1262 protein_coding
PBDC1 51260 protein_coding
RBBP8NL 140893 protein_coding
HIC2 23119 protein_coding
ANO3 63982 protein_coding
SMAD4 4089 protein_coding
SULT4A1 25830 protein_coding
PFKL 5211 protein_coding
CNBD2 140894 protein_coding
FSD1 79187 protein_coding
RTL3 203430 protein_coding
EFHB 151651 protein_coding
TENT5D 169966 protein_coding
ZSWIM4 65249 protein_coding
SLC25A21 89874 protein_coding
EPSTI1 94240 protein_coding
MEX3C 51320 protein_coding
TRAF7 84231 protein_coding
KDM5A 5927 protein_coding
CST3 1471 protein_coding
NANOS3 342977 protein_coding
TCF4 6925 protein_coding
TMPPE 643853 protein_coding
DNAAF5 54919 protein_coding
TXNDC16 57544 protein_coding
TGIF2LX 90316 protein_coding
APBA3 9546 protein_coding
BRME1 79173 protein_coding
SGO1 151648 protein_coding
ZC3H12B 340554 protein_coding
ANKRD60 140731 protein_coding
TMEM215 401498 protein_coding
NFIB 4781 protein_coding
KCND1 3750 protein_coding
CC2D1A 54862 protein_coding
TNFRSF19 55504 protein_coding
P2RX5 5026 protein_coding
DIAPH2 1730 protein_coding
TJP3 27134 protein_coding
GID8 54994 protein_coding
DHRS1 115817 protein_coding
BPIFA3 128861 protein_coding
TBL3 10607 protein_coding
GSDME 1687 protein_coding
UBE2D1 7321 protein_coding
PTGDR 5729 protein_coding
RAB20 55647 protein_coding
CFAP410 755 protein_coding
LRR1 122769 protein_coding
SCUBE1 80274 protein_coding
CARS2 79587 protein_coding
NOP9 161424 protein_coding
PMEPA1 56937 protein_coding
GDF10 2662 protein_coding
PODNL1 79883 protein_coding
KLHDC2 23588 protein_coding
ZNF33B 7582 protein_coding
SERHL2 253190 protein_coding
LRRC3 81543 protein_coding
TSPEAR 54084 protein_coding
CIDEB 27141 protein_coding
C11orf58 10944 protein_coding
IDH3B 3420 protein_coding
C12orf4 57102 protein_coding
MICU1 10367 protein_coding
DCAF15 90379 protein_coding
NBDY 550643 protein_coding
LTB4R2 56413 protein_coding
CSRP3 8048 protein_coding
LTB4R 1241 protein_coding
SH3BGRL 6451 protein_coding
OSBPL3 26031 protein_coding
RFX1 5989 protein_coding
KRTAP10-1 386677 protein_coding
KRTAP10-2 386679 protein_coding
KRTAP10-3 386682 protein_coding
ADCY4 196883 protein_coding
KRTAP10-4 386672 protein_coding
KRTAP10-5 386680 protein_coding
KRTAP10-6 386674 protein_coding
NCBP2L 392517 protein_coding
KRTAP10-7 386675 protein_coding
KRTAP10-8 386681 protein_coding
KRTAP10-9 386676 protein_coding
ING1 3621 protein_coding
KRTAP10-10 353333 protein_coding
KRTAP10-11 386678 protein_coding
KRTAP12-4 386684 protein_coding
TCEAL6 158931 protein_coding
KRTAP12-3 386683 protein_coding
KRTAP12-2 353323 protein_coding
KRTAP12-1 353332 protein_coding
KRTAP10-12 386685 protein_coding
EBI3 10148 protein_coding
KBTBD6 89890 protein_coding
UBE2G2 7327 protein_coding
SYT9 143425 protein_coding
RLN3 117579 protein_coding
KCNA6 3742 protein_coding
KBTBD7 84078 protein_coding
ABCA3 21 protein_coding
MTRF1 9617 protein_coding
IL27RA 9466 protein_coding
DOT1L 84444 protein_coding
EMC6 83460 protein_coding
ZFP3 124961 protein_coding
FKBP4 2288 protein_coding
PALM3 342979 protein_coding
LRRFIP2 9209 protein_coding
VAPB 9217 protein_coding
CSNK2A3 283106 protein_coding
NAA16 79612 protein_coding
MISP3 113230 protein_coding
SLC25A11 8402 protein_coding
FSCB 84075 protein_coding
NRP1 8829 protein_coding
FANCF 2188 protein_coding
ITGB2 3689 protein_coding
SMIM24 284422 protein_coding
C19orf67 646457 protein_coding
FERMT2 10979 protein_coding
TRIM68 55128 protein_coding
TRPC4AP 26133 protein_coding
CREB3L3 84699 protein_coding
GMDS 2762 protein_coding
SAMD1 90378 protein_coding
PRKACA 5566 protein_coding
L3MBTL2 83746 protein_coding
ARL14EP 120534 protein_coding
FOXJ2 55810 protein_coding
ZNF287 57336 protein_coding
SERGEF 26297 protein_coding
ASF1B 55723 protein_coding
RGCC 28984 protein_coding
RIPK3 11035 protein_coding
EXOC2 55770 protein_coding
VWA8 23078 protein_coding
RAE1 8480 protein_coding
ADGRL1 22859 protein_coding
NLRP1 22861 protein_coding
AICDA 57379 protein_coding
ZBTB7A 51341 protein_coding
NFATC4 4776 protein_coding
RANBP6 26953 protein_coding
JSRP1 126306 protein_coding
JSRP1 105372240 protein_coding
ERMP1 79956 protein_coding
SIRT6 51548 protein_coding
MFNG 4242 protein_coding
RAB26 25837 protein_coding
DTD2 112487 protein_coding
IRF4 3662 protein_coding
PSMC6 5706 protein_coding
ZC3H13 23091 protein_coding
IFNA16 3449 protein_coding
TFE3 7030 protein_coding
IFNA2 3440 protein_coding
RAP2A 5911 protein_coding
KLHL9 55958 protein_coding
DMRTA1 63951 protein_coding
KCTD17 79734 protein_coding
HAUS6 54801 protein_coding
MBNL2 10150 protein_coding
FAM50B 26240 protein_coding
SLC2A3 6515 protein_coding
TTLL9 164395 protein_coding
EEF1E1 9521 protein_coding
TRMT2B 79979 protein_coding
CLCN7 1186 protein_coding
CAT 847 protein_coding
HUS1B 135458 protein_coding
BLOC1S5 63915 protein_coding
PFN1 5216 protein_coding
RFPL2 10739 protein_coding
SMU1 55234 protein_coding
ZNF594 84622 protein_coding
LPAR6 10161 protein_coding
KCNA5 3741 protein_coding
IQSEC1 9922 protein_coding
SLC52A1 55065 protein_coding
RFPL3 10738 protein_coding
NAXD 55739 protein_coding
TEX13B 56156 protein_coding
TSHZ2 128553 protein_coding
CCDC77 84318 protein_coding
PTTG1IP 754 protein_coding
XKRX 402415 protein_coding
PRPF6 24148 protein_coding
DAPK3 1613 protein_coding
PLXDC2 84898 protein_coding
MAGEE2 139599 protein_coding
RTCB 51493 protein_coding
EIF3M 10480 protein_coding
USP11 8237 protein_coding
SPO11 23626 protein_coding
CD274 29126 protein_coding
GJA3 2700 protein_coding
ATP2A3 489 protein_coding
GJB2 2706 protein_coding
GJB6 10804 protein_coding
NID2 22795 protein_coding
FAM174C 55009 protein_coding
FAM207A 85395 protein_coding
ZNRF4 148066 protein_coding
PIAS4 51588 protein_coding
MTAP 4507 protein_coding
SYT15 83849 protein_coding
ZNF143 7702 protein_coding
YWHAH 7533 protein_coding
SMIM22 440335 protein_coding
AKAP3 10566 protein_coding
VSTM2L 128434 protein_coding
SNX13 23161 protein_coding
ZMYM2 7750 protein_coding
ASPHD2 57168 protein_coding
POFUT2 23275 protein_coding
DEFB121 245934 protein_coding
SRRD 402055 protein_coding
RBM10 8241 protein_coding
PGP 283871 protein_coding
EIF2S2 8894 protein_coding
RSU1 6251 protein_coding
NFIC 4782 protein_coding
TFIP11 24144 protein_coding
KLHDC1 122773 protein_coding
STUB1 10273 protein_coding
EOMES 8320 protein_coding
ERC1 23085 protein_coding
TMEM170B 100113407 protein_coding
SOX18 54345 protein_coding
ACSS1 84532 protein_coding
PP2D1 151649 protein_coding
 EEF1E1-BLOC1S5 protein_coding
IFNA6 3443 protein_coding
CDK1 983 protein_coding
CMTM6 54918 protein_coding
PRL 5617 protein_coding
TMEM30B 161291 protein_coding
LINGO2 158038 protein_coding
LRRC9 341883 protein_coding
SLC6A14 11254 protein_coding
TPST2 8459 protein_coding
PSIP1 11168 protein_coding
GALNT15 117248 protein_coding
ARMCX1 51309 protein_coding
PCBP3 54039 protein_coding
XK 7504 protein_coding
DOK5 55816 protein_coding
KLHL7 55975 protein_coding
CRYBB1 1414 protein_coding
NUP62CL 54830 protein_coding
KDM1B 221656 protein_coding
MCRIP2 84331 protein_coding
CRYBA4 1413 protein_coding
MRLN 100507027 protein_coding
GPR137C 283554 protein_coding
RBM41 55285 protein_coding
SOX8 30812 protein_coding
IL2RB 3560 protein_coding
EEF1AKMT1 221143 protein_coding
MCU 90550 protein_coding
PCNX4 64430 protein_coding
E4F1 1877 protein_coding
XPO4 64328 protein_coding
B4GALT5 9334 protein_coding
LSM3 27258 protein_coding
LATS2 26524 protein_coding
EZHIP 340602 protein_coding
ABT1 29777 protein_coding
NLRP2B 286430 protein_coding
 BLOC1S5-TXNDC5 protein_coding
ARHGAP6 395 protein_coding
RANBP3 8498 protein_coding
CENPJ 55835 protein_coding
CABLES2 81928 protein_coding
LY86 9450 protein_coding
SYN2 6854 protein_coding
C1QTNF6 114904 protein_coding
TVP23C-CDRT4 100533496 protein_coding
BPIFB1 92747 protein_coding
BMP6 654 protein_coding
JCAD 57608 protein_coding
SSTR3 6753 protein_coding
ZNF503 84858 protein_coding
AHR 196 protein_coding
SIX1 6495 protein_coding
FAM8A1 51439 protein_coding
RAC2 5880 protein_coding
TXNDC5 81567 protein_coding
SPAG6 9576 protein_coding
RTN1 6252 protein_coding
ZBP1 81030 protein_coding
APTX 54840 protein_coding
DBX1 120237 protein_coding
TMPRSS2 7113 protein_coding
HIPK3 10114 protein_coding
BZW2 28969 protein_coding
RNPS1 10921 protein_coding
ZNF322 79692 protein_coding
ZFP64 55734 protein_coding
TMPRSS6 164656 protein_coding
EPM2AIP1 9852 protein_coding
SHISA2 387914 protein_coding
RXFP2 122042 protein_coding
ARMH2 101928603 protein_coding
ARMCX6 54470 protein_coding
HDGFL1 154150 protein_coding
FOXQ1 94234 protein_coding
PPP2R5E 5529 protein_coding
RNF182 221687 protein_coding
NXF3 56000 protein_coding
ZNF705A 440077 protein_coding
FRY 10129 protein_coding
RPP40 10799 protein_coding
ZNF37A 7587 protein_coding
MIS12 79003 protein_coding
RHNO1 83695 protein_coding
UCKL1 54963 protein_coding
GRIP2 80852 protein_coding
KIF1C 10749 protein_coding
DGAT2L6 347516 protein_coding
TET1 80312 protein_coding
ERAS 3266 protein_coding
MRGPRX1 259249 protein_coding
ARMCX3 51566 protein_coding
DKK1 22943 protein_coding
BBOX1 8424 protein_coding
PDGFRL 5157 protein_coding
BLCAP 10904 protein_coding
TWIST1 7291 protein_coding
ATOH7 220202 protein_coding
MALSU1 115416 protein_coding
MOB3A 126308 protein_coding
C7orf31 136895 protein_coding
 FAM90A18P protein_coding
SLC6A13 6540 protein_coding
HRH3 11255 protein_coding
DEK 7913 protein_coding
 TINCR protein_coding
ATG4A 115201 protein_coding
LMCD1 29995 protein_coding
AGR2 10551 protein_coding
SF3A2 8175 protein_coding
LUZP2 338645 protein_coding
MX1 4599 protein_coding
SALL4 57167 protein_coding
SPECC1L 23384 protein_coding
GNG2 54331 protein_coding
TGM3 7053 protein_coding
NNAT 4826 protein_coding
PLEKHA7 144100 protein_coding
MFAP5 8076 protein_coding
LRRC3B 116135 protein_coding
GNG7 2788 protein_coding
NOD1 10392 protein_coding
BMP7 655 protein_coding
NUDT13 25961 protein_coding
LONP1 9361 protein_coding
N4BP2L2 10443 protein_coding
STYX 6815 protein_coding
CYTH3 9265 protein_coding
TTI1 9675 protein_coding
SCGN 10590 protein_coding
L3HYPDH 112849 protein_coding
UBE2E2 7325 protein_coding
MX2 4600 protein_coding
AWAT2 158835 protein_coding
MICU3 286097 protein_coding
CAPRIN1 4076 protein_coding
C14orf39 317761 protein_coding
C20orf85 128602 protein_coding
C1QBP 708 protein_coding
PSMD10 5716 protein_coding
 SPECC1L-ADORA2A protein_coding
MAFK 7975 protein_coding
SCP2D1 140856 protein_coding
ADORA2A 135 protein_coding
BHLHE23 128408 protein_coding
VGLL4 9686 protein_coding
CARMIL1 55604 protein_coding
LCA5L 150082 protein_coding
SP4 6671 protein_coding
CCDC171 203238 protein_coding
KIF5B 3799 protein_coding
HEATR5A 25938 protein_coding
NRK 203447 protein_coding
PDS5B 23047 protein_coding
SLC13A5 284111 protein_coding
ITGB8 3696 protein_coding
UPB1 51733 protein_coding
LRCH2 57631 protein_coding
CLECL1 160365 protein_coding
SNRPD3 6634 protein_coding
YJU2 55702 protein_coding
AGR3 155465 protein_coding
CLEC4E 26253 protein_coding
ACER2 340485 protein_coding
SIX6 4990 protein_coding
FUNDC1 139341 protein_coding
CSGALNACT1 55790 protein_coding
STMND1 401236 protein_coding
OAZ1 4946 protein_coding
SIX4 51804 protein_coding
NDRG3 57446 protein_coding
LRRC75B 388886 protein_coding
CCNB3 85417 protein_coding
RUSC2 9853 protein_coding
MAB21L1 4081 protein_coding
KLRC4 8302 protein_coding
SPRYD7 57213 protein_coding
H2AC11 8969 protein_coding
ATP5PF 522 protein_coding
GGT1 2678 protein_coding
TMEM114 283953 protein_coding
IFNB1 3456 protein_coding
UHRF2 115426 protein_coding
GNA15 2769 protein_coding
IGF2BP3 10643 protein_coding
TMEM204 79652 protein_coding
API5 8539 protein_coding
ATPAF2 91647 protein_coding
PPM1A 5494 protein_coding
NECAP1 25977 protein_coding
BRCA2 675 protein_coding
ZMAT1 84460 protein_coding
BTN2A1 11120 protein_coding
PDLIM2 64236 protein_coding
ANKS3 124401 protein_coding
NMT2 9397 protein_coding
DAOA 267012 protein_coding
SAFB 6294 protein_coding
ARF6 382 protein_coding
MTHFD1 4522 protein_coding
RAB40AL 282808 protein_coding
POU3F4 5456 protein_coding
NBEA 26960 protein_coding
FAM236C 109729126 protein_coding
KAT2B 8850 protein_coding
P2RY10 27334 protein_coding
ALG5 29880 protein_coding
KRBOX4 55634 protein_coding
CAMTA2 23125 protein_coding
AQP7 364 protein_coding
AQP7 112267859 protein_coding
HIVEP1 3096 protein_coding
TMEM273 170371 protein_coding
GSS 2937 protein_coding
CMC1 152100 protein_coding
EFNB1 1947 protein_coding
RPS4X 6191 protein_coding
UTP14C 9724 protein_coding
POLR3A 11128 protein_coding
RAMP3 10268 protein_coding
NEK5 341676 protein_coding
TBC1D5 9779 protein_coding
BEX5 340542 protein_coding
UBE2D4 51619 protein_coding
FJX1 24147 protein_coding
ZKSCAN3 80317 protein_coding
WAS 7454 protein_coding
CCDC175 729665 protein_coding
OR4C13 283092 protein_coding
RPS13 6207 protein_coding
NEK3 4752 protein_coding
GFOD1 54438 protein_coding
NRSN1 140767 protein_coding
MLANA 2315 protein_coding
SLC10A1 6554 protein_coding
TCEAL5 340543 protein_coding
CCAR1 55749 protein_coding
PPP1R2C 80316 protein_coding
FAM120C 54954 protein_coding
GLCCI1 113263 protein_coding
NTHL1 4913 protein_coding
JARID2 3720 protein_coding
DHRS7 51635 protein_coding
TAFA5 25817 protein_coding
RIMKLB 57494 protein_coding
SH3GL2 6456 protein_coding
MYH9 4627 protein_coding
WT1 7490 protein_coding
H4C9 8294 protein_coding
DLG3 1741 protein_coding
ELOVL2 54898 protein_coding
NUP42 11097 protein_coding
ALG11 440138 protein_coding
IFNA13 3447 protein_coding
WDR24 84219 protein_coding
IFNA7 3444 protein_coding
PRR22 163154 protein_coding
ETV6 2120 protein_coding
RREB1 6239 protein_coding
LURAP1L 286343 protein_coding
VMAC 400673 protein_coding
INTS6 26512 protein_coding
PCNX1 22990 protein_coding
ARRDC5 645432 protein_coding
USP17L1 401447 protein_coding
IFNA17 3451 protein_coding
RPL36 25873 protein_coding
CLEC1A 51267 protein_coding
ECI1 1632 protein_coding
MAPK1 5594 protein_coding
CSMD1 64478 protein_coding
DHX33 56919 protein_coding
HACD4 401494 protein_coding
C3AR1 719 protein_coding
RPS21 6227 protein_coding
CDCA7L 55536 protein_coding
CATSPERD 257062 protein_coding
FAM240B 110806297 protein_coding
NOL6 65083 protein_coding
DNAJC5 80331 protein_coding
KLRF1 51348 protein_coding
HLCS 3141 protein_coding
DUS3L 56931 protein_coding
UNKL 64718 protein_coding
TFAP2C 7022 protein_coding
ADARB1 104 protein_coding
BPIFA2 140683 protein_coding
ATP2B2 491 protein_coding
FAR1 84188 protein_coding
RNF38 152006 protein_coding
TXNDC17 84817 protein_coding
CYLC1 1538 protein_coding
KIAA0753 9851 protein_coding
DNAAF6 139212 protein_coding
MBD3L3 653657 protein_coding
CLEC9A 283420 protein_coding
SAFB2 9667 protein_coding
ABCA13 154664 protein_coding
 NPIPA9 protein_coding
RIPPLY1 92129 protein_coding
GPHB5 122876 protein_coding
SLC25A43 203427 protein_coding
MNAT1 4331 protein_coding
ARHGDIG 398 protein_coding
WNK3 65267 protein_coding
RRAS2 22800 protein_coding
SHPK 23729 protein_coding
MTMR6 9107 protein_coding
UBE2L3 7332 protein_coding
PTPRS 5802 protein_coding
MTIF3 219402 protein_coding
LRRC75A 388341 protein_coding
HS6ST3 266722 protein_coding
APOL1 8542 protein_coding
CCDC70 83446 protein_coding
GPR18 2841 protein_coding
SS18L1 26039 protein_coding
NCBP3 55421 protein_coding
MTUS2 23281 protein_coding
NFX1 4799 protein_coding
CCDC177 56936 protein_coding
NOP56 10528 protein_coding
IFT140 9742 protein_coding
ERH 2079 protein_coding
TNFSF13B 10673 protein_coding
PIGL 9487 protein_coding
C14orf28 122525 protein_coding
 TRIM51GP protein_coding
DCAF4 26094 protein_coding
GDF3 9573 protein_coding
PABPC3 5042 protein_coding
DLEU7 220107 protein_coding
DLEU7 103689915 protein_coding
SPON1 10418 protein_coding
SMIM10L1 100129361 protein_coding
AMER2 219287 protein_coding
GABARAPL1 23710 protein_coding
RNF6 6049 protein_coding
PEBP4 157310 protein_coding
CXorf38 159013 protein_coding
GRAPL 400581 protein_coding
ZKSCAN4 387032 protein_coding
MTUS1 57509 protein_coding
PLS3 5358 protein_coding
NKAPL 222698 protein_coding
ZNF232 7775 protein_coding
MADD 8567 protein_coding
ATP8A2 51761 protein_coding
MTMR3 8897 protein_coding
CAPN15 6650 protein_coding
EIF2S3B 255308 protein_coding
RABEP1 9135 protein_coding
FRMPD2 143162 protein_coding
 KLRC4-KLRK1 protein_coding
KRTAP19-7 337974 protein_coding
B3GALT5 10317 protein_coding
SYNGR3 9143 protein_coding
ANKRD24 170961 protein_coding
KCNE1 3753 protein_coding
